ss_id,llsoacd,orientation,tilt,kwp,operational_at
2543,E01016265,225.0,35.0,3.9600000381469727,2011-06-03
2544,E01028424,90.0,45.0,3.9600000381469727,2011-06-03
2545,E01005570,160.0,25.0,3.4200000762939453,2011-06-03
2546,E01005058,200.0,25.0,3.4200000762939453,2011-06-03
2547,E01019588,240.0,22.0,3.8399999141693115,2011-05-25
2548,E01012468,200.0,25.0,3.4200000762939453,2011-06-07
2549,E01007759,180.0,30.0,2.819999933242798,2011-06-08
2550,E01015304,158.0,38.0,2.2200000286102295,2011-06-14
2551,E01015304,225.0,38.0,2.2200000286102295,2011-06-14
2552,E01019559,180.0,30.0,3.759999990463257,2011-06-17
2553,E01007430,180.0,30.0,3.759999990463257,2011-06-17
2554,E01006900,180.0,30.0,0.6600000262260437,2011-06-22
2555,E01016549,185.0,30.0,2.5899999141693115,2011-06-22
2556,E01028478,180.0,30.0,2.5899999141693115,2011-06-22
2557,E01016585,185.0,40.0,3.3299999237060547,2011-06-24
2558,E01017922,135.0,35.0,1.9800000190734863,2011-06-24
2559,E01012707,180.0,30.0,2.4000000953674316,2011-06-24
2560,E01015309,200.0,40.0,2.25,2011-06-24
2561,E01026098,180.0,45.0,2.299999952316284,2011-06-24
2562,E01026098,180.0,45.0,2.299999952316284,2011-06-24
2563,E01026098,180.0,45.0,2.299999952316284,2011-06-22
2564,E01005650,180.0,30.0,0.6600000262260437,2011-06-28
2565,E01005650,180.0,30.0,0.6600000262260437,2011-06-28
2566,E01005650,180.0,30.0,0.6600000262260437,2011-06-28
2567,E01015310,233.0,36.0,2.2200000286102295,2011-06-24
2568,E01015310,208.0,35.0,2.2200000286102295,2011-06-24
2569,E01033300,180.0,30.0,0.6600000262260437,2011-07-07
2570,E01033300,180.0,30.0,0.6600000262260437,2011-07-07
2571,E01012458,180.0,30.0,0.6600000262260437,2011-07-07
2572,E01033300,180.0,30.0,0.6600000262260437,2011-07-07
2573,E01033300,180.0,30.0,0.6600000262260437,2011-07-07
2574,E01028775,159.0,30.0,2.5899999141693115,2011-07-07
2575,E01033300,180.0,30.0,0.6600000262260437,2011-07-07
2576,E01012458,180.0,30.0,0.6600000262260437,2012-04-13
2577,E01031900,202.0,20.0,3.3299999237060547,2011-07-08
2578,E01031903,180.0,40.0,2.5899999141693115,2011-07-08
2579,E01005022,190.0,35.0,3.4200000762939453,2011-07-14
2580,E01005970,198.0,25.0,3.4200000762939453,2011-07-15
2581,E01026059,200.0,35.0,1.6100000143051147,2011-07-15
2582,E01012384,270.0,30.0,0.6600000262260437,2011-07-20
2583,E01012384,270.0,30.0,0.8799999952316284,2011-07-20
2584,E01012384,270.0,30.0,0.8799999952316284,2011-07-20
2585,E01012384,270.0,30.0,0.6600000262260437,2011-07-20
2586,E01012384,270.0,30.0,0.6600000262260437,2011-07-20
2587,E01012384,270.0,30.0,0.6600000262260437,2011-07-20
2588,E01012384,270.0,30.0,0.6600000262260437,2011-07-20
2589,E01012384,270.0,30.0,0.6600000262260437,2011-07-28
2590,E01028890,135.0,45.0,3.9600000381469727,2011-07-27
2591,E01005438,180.0,35.0,0.6600000262260437,2011-08-03
2592,E01005438,180.0,35.0,0.6600000262260437,2011-08-03
2593,E01006662,270.0,30.0,0.6600000262260437,2011-08-03
2594,E01007895,180.0,30.0,3.2899999618530273,2011-08-03
2595,E01015303,175.0,28.0,2.3499999046325684,2011-08-04
2596,E01015357,145.0,35.0,2.3499999046325684,2011-08-04
2597,E01026057,190.0,36.0,2.5299999713897705,2011-08-04
2598,E01014462,174.0,30.0,2.5899999141693115,2011-08-04
2599,E01026068,200.0,6.0,3.0,2011-08-11
2600,E01026042,150.0,5.0,1.149999976158142,2011-08-08
2601,E01026057,190.0,36.0,2.069999933242798,2011-08-03
2602,E01022479,182.0,25.0,2.5899999141693115,2011-08-02
2603,W01000610,210.0,32.0,3.9600000381469727,2012-04-02
2604,E01021984,205.0,30.0,2.5199999809265137,2011-10-03
2605,E01016624,158.0,30.0,3.4200000762939453,2011-08-09
2606,E01007616,180.0,30.0,3.2899999618530273,2011-08-18
2607,E01018211,200.0,35.0,2.940000057220459,2011-08-25
2608,E01006662,270.0,30.0,0.6600000262260437,2011-08-11
2609,E01006662,270.0,30.0,0.6600000262260437,2011-08-11
2610,E01012384,270.0,30.0,0.6600000262260437,2011-08-11
2611,E01006662,270.0,30.0,0.6600000262260437,2011-08-12
2612,E01006662,270.0,30.0,0.6600000262260437,2011-08-11
2613,E01006599,270.0,30.0,0.6600000262260437,2011-08-11
2614,E01012384,270.0,30.0,0.6600000262260437,2011-08-11
2615,E01012459,156.0,22.0,3.4200000762939453,2011-08-11
2616,E01032072,180.0,30.0,3.4200000762939453,2011-08-12
2617,E01012384,270.0,30.0,0.6600000262260437,2011-08-12
2618,E01012384,270.0,30.0,0.6600000262260437,2011-08-12
2619,E01005438,180.0,35.0,0.6600000262260437,2011-08-12
2620,E01012384,270.0,30.0,0.6600000262260437,2011-08-12
2621,E01026057,190.0,36.0,2.069999933242798,2011-08-05
2622,E01006986,170.0,32.0,3.4200000762939453,2011-08-12
2623,E01026059,185.0,30.0,2.759999990463257,2011-08-12
2624,E01026102,185.0,50.0,2.759999990463257,2011-08-12
2625,E01033294,190.0,38.0,2.3499999046325684,2011-08-23
2626,S00097762,270.0,22.0,3.5999999046325684,2011-08-18
2627,E01032106,197.0,25.0,3.4200000762939453,2011-08-16
2628,E01022706,225.0,34.0,1.3799999952316284,2011-09-20
2629,E01033468,165.0,26.0,8.970000267028809,2011-08-25
2630,E01032359,60.0,40.0,1.8799999952316284,2011-08-18
2631,E01022250,130.0,30.0,4.0,2011-08-27
2632,E01026058,160.0,35.0,2.299999952316284,2011-08-18
2633,E01031916,202.0,30.0,2.5899999141693115,2011-08-18
2634,E01012663,180.0,25.0,3.4200000762939453,2011-08-18
2635,E01026102,175.0,34.0,2.759999990463257,2011-08-18
2636,E01032186,180.0,40.0,1.8799999952316284,2011-08-19
2637,E01032200,180.0,40.0,1.8799999952316284,2011-08-19
2638,E01029018,150.0,40.0,3.9600000381469727,2011-08-24
2639,E01012562,160.0,25.0,3.4200000762939453,2011-08-19
2640,E01031900,190.0,20.0,3.4200000762939453,2011-08-19
2641,E01030127,265.0,45.0,3.9200000762939453,2011-08-24
2642,E01015304,142.0,35.0,2.3499999046325684,2011-08-22
2643,E01015357,157.0,25.0,2.3499999046325684,2011-08-22
2644,E01015304,142.0,35.0,2.3499999046325684,2011-08-22
2645,E01015304,142.0,35.0,2.3499999046325684,2011-08-22
2646,E01015304,219.0,38.0,2.3499999046325684,2011-08-22
2647,E01015304,142.0,35.0,2.3499999046325684,2011-08-22
2648,E01015309,198.0,30.0,2.3499999046325684,2011-08-22
2649,E01015357,162.0,28.0,2.3499999046325684,2011-08-22
2650,E01015357,162.0,28.0,2.3499999046325684,2011-08-22
2651,E01028795,180.0,38.0,2.2799999713897705,2011-08-22
2652,E01028778,180.0,38.0,2.2799999713897705,2011-08-22
2653,E01028800,180.0,38.0,2.2799999713897705,2011-08-22
2654,E01028798,180.0,38.0,2.2799999713897705,2011-08-22
2655,E01026200,210.0,30.0,1.3799999952316284,2011-08-19
2656,E01013329,180.0,22.0,2.759999990463257,2011-08-22
2657,E01015937,185.0,47.0,4.0,2011-08-26
2658,E01032100,170.0,40.0,3.4200000762939453,2011-08-24
2659,E01015514,180.0,30.0,2.5899999141693115,2011-08-24
2660,E01030209,90.0,36.0,4.0,2011-08-29
2661,E01031408,174.0,36.0,1.25,2011-08-29
2662,E01026100,220.0,30.0,1.3799999952316284,2011-08-25
2663,E01026100,220.0,30.0,1.3799999952316284,2011-08-24
2664,E01028725,184.0,25.0,3.3299999237060547,2011-08-26
2665,E01011757,208.0,40.0,1.149999976158142,2011-08-30
2666,E01011757,208.0,40.0,1.3799999952316284,2011-08-30
